id,name,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_percent
f6bd3f1f-fa3f-45f1-b53d-1bc494bd67ae,malas fruit mocktail syrup blue curacao mocktail 750ml,coffee tea  beverages,4.4,2935,296.0,299.0,1.0033444816053512
156410e4-eaf2-45e9-b57d-4dc5556f6b73,cocacola zero sugar no calories soft drink can 300 ml,coffee tea  beverages,4.3,1395,0.0,40.0,100.0
15254f97-06eb-4a19-b871-06df1a4ef397,dabur hommade lemoneez goodness of 33 lemons  250 ml,coffee tea  beverages,4.4,1702,79.0,80.0,1.25
aa8dbc34-8cfc-46b8-8de4-d1983c84e6e2,thums up soft drink pet bottle 225 l,coffee tea  beverages,4.4,2004,0.0,85.0,100.0
7f7a0193-20e0-4653-bd9c-6a4cf7040d12,glucond instant energy health drink tangy orange  450gm refill,coffee tea  beverages,4.4,5629,157.0,173.0,9.248554913294797
7176d14e-5ac4-4ed6-a496-8eff86031f16,paper boat swing zesty pomegranate juice enriched with vitamin d no gmos 600 ml,coffee tea  beverages,4.1,1866,0.0,40.0,100.0
a927c328-a077-4a6f-98a1-8f7abefc147c,paper boat swing lush lychee juice litchi drink enriched with vitamin d no gmos 600 ml,coffee tea  beverages,4.1,1259,0.0,40.0,100.0
0124f648-a84c-411d-b682-d74011cba58b,raw pressery valencia orange juice 1000 ml,coffee tea  beverages,4.3,1070,217.0,330.0,34.24242424242424
09165026-c56d-478c-981c-ce6d85890ca4,paper boat swing slurpy mango juice enriched with vitamin d no gmos 600 ml,coffee tea  beverages,4.2,1337,38.0,40.0,5.0
be098692-184c-4a9e-b8c8-aed3afdc112b,cocacola original taste soft drink pet bottle 225 l,coffee tea  beverages,4.4,1035,94.0,99.0,5.05050505050505
511a75cf-df04-4a8c-9eda-7847488292cd,pepsi mountain dew soft drink bottle 750 ml,coffee tea  beverages,4.5,152,36.0,40.0,10.0
00609bae-152d-4c21-b2bd-c32f4400910f,mapro lemon barley water 750ml,coffee tea  beverages,4.4,550,0.0,180.0,100.0
45448308-510e-47a7-b0c3-4ed2cdba8d34,pepsi soft drink 750 ml,coffee tea  beverages,4.4,171,0.0,50.0,100.0
f8caed6b-2520-46b1-a3da-aaabfaae6bbf,amulya dairy whitener 200g refill,coffee tea  beverages,4.3,64,87.0,90.0,3.3333333333333335
ecf8eb1d-51a0-41db-879d-59b650e22d1f,mapro lemon ginger squash 750ml,coffee tea  beverages,4.3,421,162.0,180.0,10.0
